"group","name","rating","n_rater","n_reviewer","summary","process","ingredient"
"breakfast-and-brunch.eggs.breakfast-burritos","Ham and Cheese Breakfast Tortillas",0,0,44,"This is great for a special brunch or even a quick and easy dinner. Other breakfast meats can be used, but the deli ham is the easiest since it is already fully cooked.","prep: 30 mins,total: 30 mins,Servings: 4,Yield: 4 servings","12 eggs + <U+2153> cup milk + 3 slices cooked ham, diced + 2 green onions, minced + salt and pepper to taste + 4 ounces Cheddar cheese, shredded + 4 (10 inch) flour tortillas + ½ cup salsa"
"breakfast-and-brunch.eggs.breakfast-burritos","Freeze-and-Reheat Breakfast Burritos",0,0,16,"This recipe for hearty breakfast burritos is intended to be made in a large batch so that individual burritos can be frozen and reheated as needed. Making these in advance and freezing is a big time-saver for busy mornings!","prep: 30 mins,cook: 24 mins,total: 54 mins,Servings: 10,Yield: 10 burritos","1 (12 ounce) package bacon + 10 large eggs + 3 tablespoons milk + ¼ teaspoon salt + 3 tablespoons vegetable oil + 4 cups frozen hash brown potatoes with peppers and onion (such as Ore-Ida® Potatoes O'Brien®) + ½ teaspoon garlic salt + ¼ teaspoon ground black pepper + 10 large flour tortillas + 1<U+2009>½ cups shredded Cheddar cheese + 1 cup salsa, or to taste"
"breakfast-and-brunch.eggs.breakfast-burritos","Southwest Breakfast Burritos",0,0,68,"My wife and I love eating Mexican so I came up with this recipe so that we could have a little more variety in our morning meals. We are busy people and don't have time to make elaborate meals in the morning. In the past we have bought frozen breakfast burritos, but they are not very tasty and I knew they could be improved upon. This recipe will make a large batch of the burrito fixins that you can freeze, or store in the refrigerator so that you can make great breakfast burritos whenever you please.","prep: 50 mins,cook: 15 mins,total: 1 hr 5 mins,Servings: 20,Yield: 20 burritos","12 eggs + <U+2154> cup milk + ½ teaspoon salt + 2 tablespoons butter + 1 pound bulk pork sausage + 2 tablespoons minced garlic + ½ red onion, diced + 1 tomato, diced + ¼ cup chopped fresh cilantro + 1 (3.5 ounce) can diced jalapenos (Optional) + 1 (1 ounce) package taco seasoning + 1<U+2009>½ cups shredded Cheddar cheese + 20 (6 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Flannery's Bacon Avocado Burritos",4.5,5,5,"These hand-held breakfast bundles are quick to make and fun to take when you're on the go. Set out a variety of filling ingredients and toppings and let everyone assemble their own.","prep: 20 mins,cook: 20 mins,total: 40 mins,Servings: 8,Yield: 8 servings","1 tablespoon butter, divided + 1 cup diced red potatoes + 1<U+2009>½ cups chopped onion + 6 eggs, beaten + salt and ground black pepper to taste + 8 (7 inch) whole wheat tortillas + 1 pound cooked and crumbled turkey bacon + 1<U+2009>½ cups shredded low-fat Cheddar cheese + 1 large avocado, thinly sliced + ½ cup salsa, or as needed + ½ cup reduced-fat sour cream, or as needed"
"breakfast-and-brunch.eggs.breakfast-burritos","Air Fryer Mini Breakfast Burritos",4.5,3,2,"These air-fried mini burritos are great for a grab 'n go breakfast or even for a midday snack. Leave out the serrano chile pepper for a less spicy version.","prep: 15 mins,cook: 30 mins,total: 45 mins,Servings: 4,Yield: 4 servings","¼ cup Mexican-style chorizo + 1 tablespoon bacon grease + ½ cup diced potatoes + 2 tablespoons chopped onion + 1 serrano pepper, chopped + 2 large eggs + salt and ground black pepper to taste + 4 (8 inch) flour tortillas + avocado oil cooking spray"
"breakfast-and-brunch.eggs.breakfast-burritos","Authentic Mexican Breakfast Tacos",4.5,287,193,"Quick Easy and Delicious! I learned this recipe from many years of eating with the Mexican cooks at my restaurant. They like to sneak in breakfast before we open. I've grown to LOVE this breakfast. If you like spicy food, you will love this.","prep: 5 mins,cook: 10 mins,total: 15 mins,Servings: 4,Yield: 4 servings","6 ounces chorizo sausage + 8 (6 inch) corn tortillas + 6 eggs + ¼ cup milk + ½ teaspoon pepper + ½ teaspoon salt + 1 cup shredded Monterey Jack cheese + 1 dash hot pepper sauce (e.g. Tabasco™), or to taste + ½ cup salsa"
"breakfast-and-brunch.eggs.breakfast-burritos","Brunch Enchiladas",0,0,248,"Enchiladas filled with ham, vegetables and cheese and baked in a creamy egg batter.","prep: 30 mins,cook: 1 hr,additional: 8 hrs,total: 9 hrs 30 mins,Servings: 10,Yield: 10 servings","1 pound cooked ham, chopped + ¾ cup sliced green onions + ¾ cup chopped green bell peppers + 3 cups shredded Cheddar cheese, divided + 10 (7 inch) flour tortillas + 5 eggs, beaten + 2 cups half-and-half cream + ½ cup milk + 1 tablespoon all-purpose flour + ¼ teaspoon garlic powder + 1 dash hot pepper sauce"
"breakfast-and-brunch.eggs.breakfast-burritos","Carne Asada Breakfast Burrito",5,9,8,"A wonderful way to change up ordinary breakfast burrito by taking it to a new level.","prep: 15 mins,cook: 35 mins,total: 50 mins,Servings: 4,Yield: 4 servings","2 pounds beef skirt steak, cut into thin strips + 2 tablespoons carne asada seasoning + 1 tablespoon garlic powder + 1 tablespoon vegetable oil + ½ sweet onion, diced + 1 red bell pepper, seeded and chopped + 1 jalapeno pepper, seeded and diced + 1 (14.5 ounce) can Hunt's® Diced Tomatoes, drained + 2 cups frozen diced potatoes + salt and pepper to taste + 3 tablespoons butter, divided + 6 eggs, whisked + 2 cups shredded Mexican cheese blend + 4 (12 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Bacon and Egg Tacos",4.5,21,17,"This is a quick and easy recipe for tasty bacon and egg breakfast tacos. Serve with salsa if desired.","prep: 5 mins,cook: 3 mins,total: 8 mins,Servings: 6,Yield: 6 tacos","6 eggs + ¼ cup crumbled cooked bacon + 2 tablespoons butter + 3 slices American cheese, diced + ¼ teaspoon salt + ¼ teaspoon ground black pepper + 6 flour tortillas + 1 cup salsa (Optional)"
"breakfast-and-brunch.eggs.breakfast-burritos","New Mexico Green Chile Breakfast Burritos",4.5,50,40,"Hatch green chile from New Mexico may be the most addictive substance on Earth. At the famed Chicago Dog in Santa Fe, New Mexico, they will line up in a blizzard to get their variation of this recipe. Dozens of local Santa Fe eateries, stands, gas stations and taco trucks make their own variation. This may be on the Heart Association hit list, but you will die with a smile on your face.","prep: 10 mins,cook: 30 mins,total: 40 mins,Servings: 6,Yield: 6 burritos","4 potatoes, shredded + 1 small onion, finely chopped + 1 clove garlic, minced + 1 (8 ounce) container frozen Hatch, New Mexico green chile peppers + ½ cup chicken broth + 12 strips bacon + <U+2153> cup vegetable oil + 1 tablespoon onion powder + salt and pepper to taste + 6 (10 inch) flour tortillas + butter flavored cooking spray + 12 extra large eggs, beaten + 2 cups shredded Cheddar cheese"
"breakfast-and-brunch.eggs.breakfast-burritos","Nacho Daughter-In-Law's Cheesy Breakfast Burrito",4,5,3,"Our daughter-in-law started a breakfast tradition when we visited, and it has transformed into this breakfast burrito that has crushed nacho chips in it along with eggs, potatoes, and cheese. This is just as good without the tortilla, just serve it in a bowl.","prep: 10 mins,cook: 15 mins,total: 25 mins,Servings: 6,Yield: 6 burritos","1 tablespoon butter + 1 cup frozen southwest-style O'Brien potatoes with onions and peppers + 12 eggs, beaten + 1 cup shredded Cheddar cheese + 1 cup shredded pepperjack cheese + 1 cup picante sauce + 1 cup crushed nacho cheese tortilla chips (such as Doritos®) + 12 (10 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Authentic Huevos Rancheros",4,152,114,"This is an easy to make tostada-type breakfast that will definitely satisfy your hunger until lunch.","prep: 10 mins,cook: 10 mins,total: 20 mins,Servings: 4,Yield: 4 servings","2 tablespoons vegetable oil + 4 (6 inch) corn tortillas + 1 cup refried beans with green chilies + 1 teaspoon butter + 4 eggs + 1 cup shredded Cheddar cheese + 8 slices bacon, cooked and crumbled + ½ cup salsa (Optional)"
"breakfast-and-brunch.eggs.breakfast-burritos","Good Morning Wrap",0,0,19,"This is an excellent breakfast wrap! It's a great fresh breakfast that tastes best with vanilla granola and fresh pineapple.","prep: 10 mins,total: 10 mins,Servings: 2,Yield: 2 wraps","2 (10 inch) flour tortillas + 1 cup cottage cheese, divided + 1 cup chopped fresh pineapple, divided + ½ cup granola cereal, divided + 2 tablespoons brown sugar, divided + 2 bananas, sliced lengthwise"
