group,name,rating,process,ingredient
breakfast-and-brunch.eggs.breakfast-burritos,ham and cheese breakfast tortillas,0,prep minstotal minsservings yield servings,eggs u cup milk slices cooked ham diced green onions minced salt and pepper to taste ounces cheddar cheese shredded inch flour tortillas ½ cup salsa
breakfast-and-brunch.eggs.breakfast-burritos,freezeandreheat breakfast burritos,0,prep minscook minstotal minsservings yield burritos,ounce package bacon large eggs tablespoons milk ¼ teaspoon salt tablespoons vegetable oil cups frozen hash brown potatoes with peppers and onion such as oreida® potatoes obrien® ½ teaspoon garlic salt ¼ teaspoon ground black pepper large flour tortillas u½ cups shredded cheddar cheese cup salsa or to taste
breakfast-and-brunch.eggs.breakfast-burritos,southwest breakfast burritos,0,prep minscook minstotal hr minsservings yield burritos,eggs u cup milk ½ teaspoon salt tablespoons butter pound bulk pork sausage tablespoons minced garlic ½ red onion diced tomato diced ¼ cup chopped fresh cilantro ounce can diced jalapenos optional ounce package taco seasoning u½ cups shredded cheddar cheese inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,flannerys bacon avocado burritos,4.5,prep minscook minstotal minsservings yield servings,tablespoon butter divided cup diced red potatoes u½ cups chopped onion eggs beaten salt and ground black pepper to taste inch whole wheat tortillas pound cooked and crumbled turkey bacon u½ cups shredded lowfat cheddar cheese large avocado thinly sliced ½ cup salsa or as needed ½ cup reducedfat sour cream or as needed
breakfast-and-brunch.eggs.breakfast-burritos,air fryer mini breakfast burritos,4.5,prep minscook minstotal minsservings yield servings,¼ cup mexicanstyle chorizo tablespoon bacon grease ½ cup diced potatoes tablespoons chopped onion serrano pepper chopped large eggs salt and ground black pepper to taste inch flour tortillas avocado oil cooking spray
breakfast-and-brunch.eggs.breakfast-burritos,authentic mexican breakfast tacos,4.5,prep minscook minstotal minsservings yield servings,ounces chorizo sausage inch corn tortillas eggs ¼ cup milk ½ teaspoon pepper ½ teaspoon salt cup shredded monterey jack cheese dash hot pepper sauce eg tabasco or to taste ½ cup salsa
breakfast-and-brunch.eggs.breakfast-burritos,brunch enchiladas,0,prep minscook hradditional hrstotal hrs minsservings yield servings,pound cooked ham chopped ¾ cup sliced green onions ¾ cup chopped green bell peppers cups shredded cheddar cheese divided inch flour tortillas eggs beaten cups halfandhalf cream ½ cup milk tablespoon allpurpose flour ¼ teaspoon garlic powder dash hot pepper sauce
breakfast-and-brunch.eggs.breakfast-burritos,carne asada breakfast burrito,5,prep minscook minstotal minsservings yield servings,pounds beef skirt steak cut into thin strips tablespoons carne asada seasoning tablespoon garlic powder tablespoon vegetable oil ½ sweet onion diced red bell pepper seeded and chopped jalapeno pepper seeded and diced ounce can hunts® diced tomatoes drained cups frozen diced potatoes salt and pepper to taste tablespoons butter divided eggs whisked cups shredded mexican cheese blend inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,bacon and egg tacos,4.5,prep minscook minstotal minsservings yield tacos,eggs ¼ cup crumbled cooked bacon tablespoons butter slices american cheese diced ¼ teaspoon salt ¼ teaspoon ground black pepper flour tortillas cup salsa optional
breakfast-and-brunch.eggs.breakfast-burritos,new mexico green chile breakfast burritos,4.5,prep minscook minstotal minsservings yield burritos,potatoes shredded small onion finely chopped clove garlic minced ounce container frozen hatch new mexico green chile peppers ½ cup chicken broth strips bacon u cup vegetable oil tablespoon onion powder salt and pepper to taste inch flour tortillas butter flavored cooking spray extra large eggs beaten cups shredded cheddar cheese
breakfast-and-brunch.eggs.breakfast-burritos,nacho daughterinlaws cheesy breakfast burrito,4,prep minscook minstotal minsservings yield burritos,tablespoon butter cup frozen southweststyle obrien potatoes with onions and peppers eggs beaten cup shredded cheddar cheese cup shredded pepperjack cheese cup picante sauce cup crushed nacho cheese tortilla chips such as doritos® inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,authentic huevos rancheros,4,prep minscook minstotal minsservings yield servings,tablespoons vegetable oil inch corn tortillas cup refried beans with green chilies teaspoon butter eggs cup shredded cheddar cheese slices bacon cooked and crumbled ½ cup salsa optional
breakfast-and-brunch.eggs.breakfast-burritos,good morning wrap,0,prep minstotal minsservings yield wraps,inch flour tortillas cup cottage cheese divided cup chopped fresh pineapple divided ½ cup granola cereal divided tablespoons brown sugar divided bananas sliced lengthwise
